County_Name,NAICS_Description,Firms,Establishments,Employment,Annual_Payroll
Guadalupe,Food and Beverage Stores,17,17,58,1133
Guadalupe,Retail Trade,14016,14017,516429,1458816953
Hale,Accommodation,6,6,43,745
Hale,Accommodation and Food Services,3713,3713,181421,31426922
Hale,Clothing and Clothing Accessories Stores,6,6,35,589
Hale,Food Services and Drinking Places,3111,3111,138377,23976327
Hale,Food and Beverage Stores,4,4,17,345
Hale,Retail Trade,475,485,221170,57116363
Hall,Accommodation and Food Services,8,8,19,321
Hall,Food Services and Drinking Places,7,7,17,258
Hall,Food and Beverage Stores,3,3,11,141
Hall,Retail Trade,6,6,20,374
Hamilton,Accommodation,6,6,26,372
Hamilton,Accommodation and Food Services,187,187,91164,14312383
Hamilton,Food Services and Drinking Places,127,127,65164,10592383
Hamilton,Food and Beverage Stores,7,7,39,527
Hamilton,Retail Trade,304,308,145115,37853826
Hansford,Accommodation and Food Services,3,3,15,166
Hansford,Retail Trade,163,164,12045,46041083
Hardeman,Accommodation and Food Services,7,7,65,666
Hardeman,Food Services and Drinking Places,6,6,48,485
Hardeman,Retail Trade,8,8,34,755
Hardin,Accommodation,8,8,29,401
Hardin,Accommodation and Food Services,4717,4721,243546,36167889
Hardin,Clothing and Clothing Accessories Stores,9,9,26,453
Hardin,Food Services and Drinking Places,3917,3921,214546,32157889
Hardin,Food and Beverage Stores,16,16,63,806
Hardin,Retail Trade,9013,9013,382411,1036718572
Harris,Accommodation,556121,557125,27534130,5797285100
Harris,Accommodation and Food Services,50801502,51031685,2987857891,6132981117735
Harris,Clothing and Clothing Accessories Stores,58048,58974,22961318,6649135629
Harris,Food Services and Drinking Places,45241381,45461560,2712553761,5553261032635
Harris,Food and Beverage Stores,1408125,1418149,45144419,10446993261
Harris,General Merchandise Stores,97,101,414,8614
Harris,Retail Trade,7188494,7323692,2692316191,838432563600
Harrison,Accommodation,18,18,110,2404
Harrison,Accommodation and Food Services,5522,5522,350643,59388034
Harrison,Clothing and Clothing Accessories Stores,6,6,34,799
Harrison,Food Services and Drinking Places,3722,3722,240643,35348034
Harrison,Food and Beverage Stores,10,10,42,593
Harrison,Retail Trade,9112,9121,405292,1133912486
Hartley,Retail Trade,7,7,25,831
Haskell,Accommodation,5,5,20,411
Haskell,Accommodation and Food Services,12,12,45,655
Haskell,Food Services and Drinking Places,7,7,25,244
Haskell,Food and Beverage Stores,3,3,3,70
Haskell,Retail Trade,18,18,92,2797
Hays,Accommodation,4011,4011,287305,54774933
Hays,Accommodation and Food Services,211101,212111,14333634,2626352597
Hays,Clothing and Clothing Accessories Stores,22,22,108,1446
Hays,Food Services and Drinking Places,17190,172100,11463329,2078647664
Hays,Food and Beverage Stores,255,255,139108,27162909
Hays,Retail Trade,25232,25434,1079871,2808335813
Hemphill,Accommodation and Food Services,5,5,27,473
Hemphill,Food Services and Drinking Places,3,3,13,220
Hemphill,Retail Trade,9,9,46,1385
Henderson,Accommodation,13,13,59,885
Henderson,Accommodation and Food Services,9222,9224,490573,66128187
Henderson,Clothing and Clothing Accessories Stores,8,8,16,209
Henderson,Food Services and Drinking Places,7921,7923,431544,57277886
Henderson,Food and Beverage Stores,26,26,69,1241
Henderson,General Merchandise Stores,3,4,15,295
Henderson,Retail Trade,13911,14213,569199,133735463
Hidalgo,Accommodation,6611,6611,407325,67995163
Hidalgo,Accommodation and Food Services,560167,560198,29846383,4687798351
Hidalgo,Clothing and Clothing Accessories Stores,1127,1159,506252,101132598
Hidalgo,Food Services and Drinking Places,494156,494187,25776058,4007893188
Hidalgo,Food and Beverage Stores,15121,15230,619675,1095311754
Hidalgo,General Merchandise Stores,25,25,96,1514
Hidalgo,Retail Trade,957103,970142,43793244,10560795251
Hill,Accommodation,14,14,84,1202
Hill,Accommodation and Food Services,4511,4511,237303,35684217
Hill,Clothing and Clothing Accessories Stores,3,3,6,90
Hill,Food Services and Drinking Places,3111,3111,153303,23664217
Hill,Food and Beverage Stores,5,5,12,153
Hill,Retail Trade,806,818,368138,83645809
Hockley,Accommodation,4,4,39,537
Hockley,Accommodation and Food Services,265,265,215196,26152513
Hockley,Clothing and Clothing Accessories Stores,7,7,27,490
Hockley,Food Services and Drinking Places,225,225,176196,20782513
Hockley,Retail Trade,353,353,13780,37733773
Hood,Accommodation,11,11,86,1377
