County,NAICS_Description,Enterprise_Size,Firms,Establishments,Employment,Annual_Payroll
Callahan,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,45,46,30159,3751572
Callahan,Total,,201,217,1646,65980
Callahan,Food and Beverage Stores,2: <20 employees,3,3,13,149
Callahan,Retail Trade,2: <20 employees,17,17,67,1598
Cameron,General Merchandise Stores,2: <20 employees,8,8,37,704
Cameron,Retail Trade,2: <20 employees3: 20-99 employees,46268,47483,20472114,4411659549
Cameron,Food and Beverage Stores,2: <20 employees3: 20-99 employees,5913,6416,275396,43337299
Cameron,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,32599,327118,18743677,2783953272
Cameron,Clothing and Clothing Accessories Stores,2: <20 employees,68,68,274,4265
Cameron,Accommodation and Food Services,2: <20 employees3: 20-99 employees,384116,386135,22744180,3420961726
Cameron,Accommodation,2: <20 employees3: 20-99 employees,5917,5917,400503,63708454
Cameron,Total,,5101,6449,109216,3018500
Camp,Total,,195,206,2392,106606
Camp,Food and Beverage Stores,2: <20 employees,5,5,17,480
Camp,Accommodation and Food Services,2: <20 employees3: 20-99 employees,123,123,5495,7041287
Camp,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,10,191
Camp,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,103,103,5095,6681287
Camp,Retail Trade,2: <20 employees3: 20-99 employees,273,274,14565,43502460
Carson,Accommodation and Food Services,2: <20 employees,6,6,18,244
Carson,Food Services and Drinking Places,2: <20 employees,4,4,15,183
Carson,Retail Trade,2: <20 employees,14,14,41,1046
Carson,Total,,119,125,871,40043
Cass,Accommodation and Food Services,2: <20 employees3: 20-99 employees,437,437,240200,31672398
Cass,Total,,470,509,5677,203849
Cass,Retail Trade,2: <20 employees3: 20-99 employees,394,394,20064,52621382
Cass,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,377,377,209200,27492398
Cass,Accommodation,2: <20 employees,6,6,31,418
Cass,Food and Beverage Stores,2: <20 employees,3,3,19,258
Castro,Accommodation and Food Services,2: <20 employees,12,12,50,675
Castro,Food Services and Drinking Places,2: <20 employees,10,10,46,622
Castro,Retail Trade,2: <20 employees,23,23,85,2331
Castro,Total,,157,160,1169,41769
Chambers,Total,,633,674,13914,924940
Chambers,Retail Trade,2: <20 employees3: 20-99 employees,786,786,394116,115943905
Chambers,Food and Beverage Stores,2: <20 employees,13,13,55,1065
Chambers,Accommodation,2: <20 employees,13,13,91,1397
Chambers,Accommodation and Food Services,2: <20 employees3: 20-99 employees,4713,4713,295456,43467013
Chambers,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,3413,3413,204456,29497013
Chambers,Clothing and Clothing Accessories Stores,2: <20 employees,3,3,7,61
Cherokee,Accommodation,2: <20 employees,9,9,49,723
Cherokee,Accommodation and Food Services,2: <20 employees3: 20-99 employees,404,404,216121,31131594
Cherokee,Clothing and Clothing Accessories Stores,2: <20 employees,4,4,10,77
Cherokee,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,314,314,167121,23901594
Cherokee,Food and Beverage Stores,2: <20 employees,8,8,23,375
Cherokee,Retail Trade,2: <20 employees3: 20-99 employees,6811,7013,257283,79248899
Cherokee,Total,,703,763,10876,399605
Childress,Total,,157,164,1251,40072
Childress,Food Services and Drinking Places,2: <20 employees3: 20-99 employees,83,83,3870,4591138
